Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
birthday gifts for boss female	     8.000	     1.000	     0.125	     0.190	     0.190	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
happy birthday boss gifts him	     1.000	     1.000	     1.000	     0.740	     0.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss jumbo mug	     2.000	     1.000	     0.500	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss gifts for desk	     1.000	     1.000	     1.000	     0.250	     0.250	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
birthday present for your boss	     2.000	     1.000	     0.500	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss coffee mugs for women	    20.000	     4.000	     0.200	     2.370	     3.180	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for construction boss	     3.000	     1.000	     0.333	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
greatest boss gifts	    32.000	     3.000	     0.094	     2.390	     2.390	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss coffee mug	     4.000	     1.000	     0.250	     0.880	     0.880	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss	    97.000	     6.000	     0.062	     3.940	     3.940	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss dunder	     4.000	     1.000	     0.250	     0.840	     0.840	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts to thank a great boss	     1.000	     1.000	     1.000	     0.220	     0.220	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
bosses gifts for men	     1.000	     1.000	     1.000	     1.000	     1.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
great boss mugs	     4.000	     2.000	     0.500	     1.340	     1.340	    12.140	     0.110	    23.800	     1.000	     1.000	   100.000	     1.000	     0.000	    12.140	     0.000
female boss birthday gifts	     3.000	     1.000	     0.333	     0.410	     0.410	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mugs for male bosses	     1.000	     1.000	     1.000	     0.320	     0.320	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss coffee cup	     1.000	     1.000	     1.000	     0.760	     0.760	    12.140	     0.063	    15.970	     1.000	     1.000	   100.000	     1.000	     0.000	    12.140	     0.000
worlds greatest former boss	     1.000	     1.000	     1.000	     0.160	     0.160	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss whiskey glass	     1.000	     1.000	     1.000	     0.520	     0.520	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
words best boss	   259.000	     5.000	     0.019	     4.160	     4.160	    37.180	     0.112	    46.250	     3.000	     3.000	   300.000	     2.000	     1.000	    24.060	     0.000
best gifts for boss farewell	     1.000	     1.000	     1.000	     0.990	     0.990	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best fake boss mug	     1.000	     1.000	     1.000	     0.820	     0.820	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
man boss beer mug	     5.000	     1.000	     0.200	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug large	     1.000	     1.000	     1.000	     0.410	     0.410	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
yoda best boss	    46.000	     2.000	     0.043	     1.620	     1.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss picture	     2.000	     1.000	     0.500	     1.000	     1.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever key chain	     1.000	     1.000	     1.000	     0.830	     0.830	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mug best boss ever	     9.000	     4.000	     0.444	     2.590	     2.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss desk plate	     1.000	     1.000	     1.000	     0.850	     0.850	    12.680	     0.067	    14.920	     1.000	     1.000	   100.000	     1.000	     0.000	    12.680	     0.000
best boss mug black	     8.000	     1.000	     0.125	     0.970	     0.970	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mug joke	     1.000	     1.000	     1.000	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss duner	     3.000	     1.000	     0.333	     0.920	     0.920	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss sign	    26.000	     4.000	     0.154	     2.700	     3.850	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss thermos travel coffee mug	     2.000	     1.000	     0.500	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever plaque	     3.000	     2.000	     0.667	     1.440	     1.440	    13.120	     0.110	    29.160	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
best boss mug funny	     8.000	     3.000	     0.375	     2.580	     2.580	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss thermos	     1.000	     1.000	     1.000	     0.280	     0.280	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever cup	     5.000	     2.000	     0.400	     1.930	     1.930	    12.990	     0.149	    11.000	     1.000	     1.000	   100.000	     1.000	     0.000	    12.990	     0.000
15 oz best boss ever mug	     6.000	     1.000	     0.167	     0.980	     0.980	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
giant best boss mug	     1.000	     1.000	     1.000	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
tiny best boss mug	     2.000	     1.000	     0.500	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mugs men world’s coolest boss	     1.000	     1.000	     1.000	     0.950	     0.950	     8.760	     0.108	     9.220	     1.000	     1.000	   100.000	     1.000	     0.000	     8.760	     0.000
best boss mug middle finger	     3.000	     2.000	     0.667	     1.640	     1.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best gift for your boss	     1.000	     1.000	     1.000	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss sike mug	     2.000	     1.000	     0.500	     0.350	     0.350	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mini glass	     2.000	     1.000	     0.500	     0.440	     0.440	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss coaster	     2.000	     1.000	     0.500	     0.790	     0.790	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss mug custom	     1.000	     1.000	     1.000	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever trophy	     4.000	     1.000	     0.250	     0.740	     0.740	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss tumbler	    11.000	     2.000	     0.182	     1.780	     1.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
hydroflask best boss mug	     1.000	     1.000	     1.000	     0.350	     0.350	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug packers	     1.000	     1.000	     1.000	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's greatest boss/i'm a dick	     2.000	     1.000	     0.500	     0.170	     0.170	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss woman	     3.000	     1.000	     0.333	     0.960	     0.960	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss mug/i'm a dick	     1.000	     1.000	     1.000	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug you are a good boss	     1.000	     1.000	     1.000	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss man	     1.000	     1.000	     1.000	     0.890	     0.890	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss starbucks mug	     1.000	     1.000	     1.000	     0.340	     0.340	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss present	     1.000	     1.000	     1.000	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever gifts for men	     7.000	     3.000	     0.429	     2.290	     2.290	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss currently	     1.000	     1.000	     1.000	     1.000	     1.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss middle finger	     7.000	     1.000	     0.143	     0.990	     0.990	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds greatest boss giant	     1.000	     1.000	     1.000	     0.800	     0.800	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best air boss mug	     1.000	     1.000	     1.000	     1.140	     1.140	     8.990	     0.127	     7.890	     1.000	     1.000	   100.000	     1.000	     0.000	     8.990	     0.000
microveabld best boss mugs for women	     1.000	     1.000	     1.000	     0.970	     0.970	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss beer	     3.000	     1.000	     0.333	     1.030	     1.030	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug funny	   176.000	     3.000	     0.017	     1.730	     2.460	    52.480	     0.047	    35.700	     4.000	     4.000	   200.000	     4.000	     0.000	    52.480	     0.000
soup mug worlds best boss	     1.000	     1.000	     1.000	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss wide large cup	     5.000	     1.000	     0.200	     0.810	     0.810	     8.990	     0.090	    11.100	     1.000	     1.000	   100.000	     1.000	     0.000	     8.990	     0.000
world s best boss the office	     1.000	     1.000	     1.000	     0.810	     0.810	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss lady	  2341.000	    22.000	     0.009	    15.880	    20.290	    31.200	     0.650	    38.610	     2.000	     2.000	   200.000	     2.000	     0.000	    31.200	     0.000
worlds best boss mug 20oz	     5.000	     2.000	     0.400	     1.730	     1.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best future boss mug	     1.000	     1.000	     1.000	     0.860	     0.860	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's greatest boss	   160.000	     2.000	     0.013	     0.980	     1.960	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
thank you gifts for boss female	     2.000	     1.000	     0.500	     0.870	     0.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
poop emoji mug best boss	     2.000	     1.000	     0.500	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best female boss ever gifts for office	     2.000	     1.000	     0.500	     0.730	     0.730	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
